,Addresses,Beds,Baths,Property Size,Prices
0,1665KeavyRoad,3,2,"1,416","$234,900"
1,5460SlateLickRoad,4,3,"5,500","$749,900"
2,115SwissColonyLane,3,2,"1,787","$159,900"
3,1033EastFourthStreet,3,3,"4,944","$449,900"
4,216ArmoryStreetStreet,2,1,"1,188","$164,500"
5,913BullockDrive,2,1,806,"$45,000"
6,1600TerrellsCreek,3,3,"3,440","$490,000"
7,2783OldWhitleyRoad,3,2,"1,861","$245,000"
8,67CumberlandWay,3,2,"1,607","$209,900"
9,604LaurelRoad,2,1,"1,008","$63,900"
10,604LaurelRoad,2,1,"1,008","$63,900"
11,265AutumnDrive,5,2,"2,200","$259,900"
12,1078&1070BowmanRoad4,8,4,"3,846","$399,900"
13,1712LaurelLakeRoadNorth,3,2,"1,568","$225,000"
14,1080BowmanRDRoad,2,1,860,"$199,900"
15,201SlateLickStreetStreet,3,1,"1,513","$159,990"
16,1652NevadaAvenue,6,6,,"$429,900"
17,1430KeavyRoad,3,1,"1,932","$65,000"
18,1000NewSalemRoad,4,3,"2,240","$399,900"
19,1072WhitsonSchoolRoad,3,2,"2,505","$379,900"
20,1665KeavyRoad,3,2,"1,416","$234,900"
21,5460SlateLickRoad,4,3,"5,500","$749,900"
22,115SwissColonyLane,3,2,"1,787","$159,900"
23,1033EastFourthStreet,3,3,"4,944","$449,900"
24,216ArmoryStreetStreet,2,1,"1,188","$164,500"
25,913BullockDrive,2,1,806,"$45,000"
26,1600TerrellsCreek,3,3,"3,440","$490,000"
27,2783OldWhitleyRoad,3,2,"1,861","$245,000"
28,67CumberlandWay,3,2,"1,607","$209,900"
29,604LaurelRoad,2,1,"1,008","$63,900"
30,604LaurelRoad,2,1,"1,008","$63,900"
31,265AutumnDrive,5,2,"2,200","$259,900"
32,1078&1070BowmanRoad4,8,4,"3,846","$399,900"
33,1712LaurelLakeRoadNorth,3,2,"1,568","$225,000"
34,1080BowmanRDRoad,2,1,860,"$199,900"
35,201SlateLickStreetStreet,3,1,"1,513","$159,990"
36,1652NevadaAvenue,6,6,,"$429,900"
37,1430KeavyRoad,3,1,"1,932","$65,000"
38,1000NewSalemRoad,4,3,"2,240","$399,900"
39,1072WhitsonSchoolRoad,3,2,"2,505","$379,900"
40,1665KeavyRoad,3,2,"1,416","$234,900"
41,5460SlateLickRoad,4,3,"5,500","$749,900"
42,115SwissColonyLane,3,2,"1,787","$159,900"
43,1033EastFourthStreet,3,3,"4,944","$449,900"
44,216ArmoryStreetStreet,2,1,"1,188","$164,500"
45,913BullockDrive,2,1,806,"$45,000"
46,1600TerrellsCreek,3,3,"3,440","$490,000"
47,2783OldWhitleyRoad,3,2,"1,861","$245,000"
48,67CumberlandWay,3,2,"1,607","$209,900"
49,604LaurelRoad,2,1,"1,008","$63,900"
50,604LaurelRoad,2,1,"1,008","$63,900"
51,265AutumnDrive,5,2,"2,200","$259,900"
52,1078&1070BowmanRoad4,8,4,"3,846","$399,900"
53,1712LaurelLakeRoadNorth,3,2,"1,568","$225,000"
54,1080BowmanRDRoad,2,1,860,"$199,900"
55,201SlateLickStreetStreet,3,1,"1,513","$159,990"
56,1652NevadaAvenue,6,6,,"$429,900"
57,1430KeavyRoad,3,1,"1,932","$65,000"
58,1000NewSalemRoad,4,3,"2,240","$399,900"
59,1072WhitsonSchoolRoad,3,2,"2,505","$379,900"
